,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LILRA5,2.75574272977287e-30,0.274175142210585,0.748,0.58,4.85120950149215e-26
CCDC151,7.47998468839307e-30,-0.30178214198663,0.631,0.701,1.31677650454472e-25
LOC109910387,3.38542228825318e-29,0.569688615852147,1,1,5.9596973962409e-25
TIMP2,3.68931824412749e-28,0.320766894944549,0.863,0.764,6.49467583696203e-24
APLP2,5.04299724892005e-28,0.279667022091449,0.988,0.984,8.87769235699886e-24
TXNIP,5.7129128123481e-28,0.420778326029025,0.823,0.688,1.00570117148576e-23
SRGN,1.10744851868595e-27,0.260805751197994,0.997,0.998,1.94955237229474e-23
LYZ,3.23188878667042e-27,0.305249900750282,0.848,0.723,5.6894170200546e-23
TIMD4,5.9732806603458e-27,-0.370744600216463,0.102,0.218,1.05153632744727e-22
BASP1,6.95852177717005e-27,0.406354373207886,0.838,0.751,1.22497817365301e-22
CD48,1.00705232892897e-26,0.32866364564574,0.984,0.971,1.77281491984655e-22
KLF4,1.09657746299722e-26,0.348226430232134,0.897,0.845,1.93041496586031e-22
LOC114674534,1.22943848692129e-26,0.741373270781081,0.998,0.997,2.16430351237624e-22
PLP2,2.35463095311863e-26,0.256781713032358,0.767,0.609,4.14509232987004e-22
CCNI,5.09508885058608e-26,0.296488079998911,0.928,0.889,8.96939441257174e-22
AHNAK2,5.44236647332282e-26,0.283805732445077,0.325,0.206,9.5807419396375e-22
CPQ,6.01133645508408e-26,0.279744187652247,0.806,0.669,1.058235669553e-21
CHIT1,9.06298048457185e-26,0.810027708765777,0.97,0.979,1.59544708450403e-21
DHRS7,1.85555783506539e-25,0.253487693511022,0.977,0.953,3.26652401284912e-21
CYB5A,2.29213639884643e-25,0.272579999084855,0.848,0.727,4.03507691652925e-21
DNAJB4,2.47134536148064e-25,0.279308476298651,0.186,0.093,4.35055637435052e-21
HSPH1,6.62274209661456e-25,0.603754741690026,0.766,0.656,1.16586751868803e-20
TGFBR3,2.91535513696546e-24,0.259338004240615,0.279,0.169,5.132191183114e-20
SERPINE1,6.77239776615847e-23,-0.316524676000341,0.758,0.778,1.19221290275454e-18
LOC719702,7.62068286671078e-23,0.359353471111221,0.926,0.886,1.34154501185577e-18
CCL18,8.01818131866349e-23,0.310774138288248,0.445,0.321,1.41152063933752e-18
LOC711690,1.17855862996388e-22,0.287659274502935,0.364,0.251,2.07473461218842e-18
HSPD1,1.2106127550722e-22,0.365523600068041,0.892,0.828,2.1311626940291e-18
CXCL8,1.56028919478536e-22,-0.293667830509846,0.225,0.348,2.74673309850015e-18
MAFB,2.18183121364422e-22,-0.277443611628608,0.902,0.939,3.84089566849929e-18
