,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LOC106998938,1.23198908356186e-110,-0.646572041770603,0.136,0.477,2.1687935827023e-106
NME2,7.5256065911097e-110,-0.398040064640745,1,1,1.32480778429895e-105
LOC100426197,7.68780501322331e-110,-0.646431051823386,0.889,0.953,1.35336119452783e-105
ABCA1,1.16492340547159e-109,1.08924716429388,0.514,0.243,2.05073116299218e-105
NAAA,3.12177441898373e-108,-0.659103031193623,0.784,0.905,5.49557168717896e-104
VAPA,6.28952938432979e-107,-0.475263613814459,0.996,1,1.10720875281742e-102
TREM1,8.53635887315316e-107,-0.456516078234785,0.998,0.999,1.50274061602988e-102
MCM7,7.34663950511057e-106,-1.36218785057917,0.686,0.802,1.29330241847966e-101
ERV3-1,1.24239091704014e-105,-0.781829720662977,0.149,0.466,2.18710497035746e-101
MYDGF,1.59556329600124e-105,-0.479226295782264,0.972,0.991,2.80882962628058e-101
MICOS10,1.47206690427405e-104,-0.458998654211515,0.964,0.988,2.59142657828404e-100
ND2,1.65494054592133e-104,0.741210794860585,1,1,2.91335733703991e-100
LOC697476,2.07196053248846e-104,0.597641883641461,0.999,0.999,3.64747932139268e-100
ALDH2,4.67020224476785e-104,-0.485460882744768,0.998,1,8.22142403168932e-100
EFHD2,5.91587689031266e-104,-0.50377874295234,0.909,0.972,1.04143096777064e-99
MAMU-DOA,1.60976245112026e-103,0.391085576784646,0.267,0.061,2.83382581895211e-99
CRIP1,2.87161690656601e-103,-0.469882557533412,1,1,5.05519440231881e-99
CFL1,5.00265555994326e-103,-0.394802621459697,1,1,8.80667484772411e-99
LOC718347,5.62833629317761e-103,0.751489571315544,0.379,0.136,9.90812321050986e-99
FOSB,6.66552594539783e-103,0.847778692656506,0.946,0.795,1.17339918742783e-98
LOC106997433,4.10708647632468e-101,-0.56040165836108,0.118,0.44,7.23011503292197e-97
CEBPB,4.75591108493557e-100,-0.470470512911503,0.993,0.998,8.37230587392057e-96
TMSB4X,3.86569852128411e-99,-0.535413215586979,1,1,6.80517567686855e-95
COX2,2.0595445337882e-98,0.626356239334685,1,1,3.62562219728075e-94
GMFG,9.17406738712463e-98,-0.378454503425971,0.998,0.999,1.61500282282942e-93
CD9-1,1.60508074289265e-97,-0.502565621349394,0.993,1,2.82558413978822e-93
MARCO,2.49092668481087e-97,1.04003230899591,0.987,0.88,4.38502733594106e-93
RPS9,1.30420634984728e-96,-0.361200928276093,1,1,2.29592485827115e-92
LGALS3,5.97222598562065e-96,-0.518654216670646,1,1,1.05135066250866e-91
RAC1,1.77555353941241e-95,-0.392981312542258,0.996,0.999,3.12568445078161e-91
RPL39,2.68154084242783e-95,-0.455408005974989,0.872,0.998,4.72058449900995e-91
LOC106992298,3.68685157641896e-95,-0.426836974797271,0.022,0.302,6.49033351512794e-91
TXN,5.02866611134862e-95,-0.432442414506089,1,1,8.85246382241811e-91
HSPA1A,6.39490015985694e-95,0.532916000844313,0.267,0.065,1.12575822414122e-90
LOC114677644,2.22226913982517e-94,-0.622923217893786,0.98,0.985,3.91208259374822e-90
LOC114669765,1.74264048067854e-92,0.533805209787996,0.365,0.129,3.0677443021865e-88
UBXN1,2.92558367353812e-92,-0.462367055189751,0.907,0.957,5.15019749889651e-88
FFAR4,3.07440525715644e-92,-0.683169954976528,0.708,0.812,5.41218301469819e-88
VIM,3.32966655068609e-92,-0.440910050852956,1,1,5.8615449958278e-88
ITGB2,6.0076514412228e-92,-0.569572584369638,0.824,0.918,1.05758695971286e-87
CLTA,2.67828725064073e-91,-0.395468125668497,0.998,0.998,4.71485687602795e-87
SGMS1,4.29881042456592e-91,-0.566010641854847,0.804,0.906,7.56762587140585e-87
RBX1,4.77567629674418e-91,-0.399116031951016,0.975,0.993,8.40710055278846e-87
RPLP1,1.00583676897197e-90,-0.372352455978884,1,1,1.77067504809826e-86
LOC716161,5.52617797458656e-90,-0.595540545012794,0.914,0.968,9.72828370646217e-86
LFNG,8.83639361117043e-90,-0.551201050871659,0.537,0.757,1.55555873131044e-85
COX5A,3.0400860102796e-89,-0.439825612358589,0.932,0.973,5.35176741249622e-85
ITGA6,4.33451350135557e-89,-0.562323028230601,0.92,0.961,7.63047756778634e-85
LOC707227,5.27398349392154e-89,-0.38218180367018,0.996,0.998,9.28432054269947e-85
CHCHD6,5.43916831012506e-89,1.09037775146241,0.768,0.531,9.57511189314415e-85
CDC42SE2,8.19035729538177e-89,-0.552956561983785,0.76,0.865,1.44183049827901e-84
AGTRAP,2.79178993269108e-88,-0.481154348114342,0.92,0.968,4.91466699750938e-84
ANXA2,6.00391700423137e-88,-0.421783053094649,0.999,1,1.05692954942489e-83
TNFSF13,1.00046309905369e-86,-0.432970248406938,0.964,0.99,1.76121523957412e-82
RGS19,1.25439147297454e-85,-0.483422331501826,0.776,0.883,2.20823074902439e-81
PHLDA3,1.67432770019881e-85,-0.556039388631931,0.715,0.832,2.94748648342998e-81
TNFRSF12A,3.67275692899334e-85,-0.557206998580677,0.777,0.871,6.46552129779987e-81
DNAJB1,3.42599479496914e-84,1.12275433063577,0.715,0.483,6.03112123706368e-80
CNRIP1,4.23937495604192e-84,0.372722604585322,0.303,0.096,7.46299567261619e-80
SLC6A6,3.22996442265007e-83,-0.459784320387629,0.955,0.965,5.68602936963317e-79
