,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ICAM3,2.14172245534965e-48,-0.366050908175349,0.245,0.433,3.77028821039753e-44
LOC723473,4.32502004941703e-48,0.314731798372288,0.288,0.132,7.61376529499373e-44
ALDH2,1.30459288150421e-47,-0.253367566867421,0.998,1,2.29660530860001e-43
HSPA1A,2.52495091587557e-47,0.398231738046267,0.195,0.069,4.44492359230735e-43
DOK2,2.79566051538439e-47,-0.324259878285542,0.831,0.905,4.92148077128269e-43
NEK6,4.38599803935979e-47,0.303084978314668,0.718,0.488,7.72111094848897e-43
SRSF9,1.49180309669709e-46,-0.268986045451303,0.956,0.982,2.62617017142555e-42
TMSB4X,1.56963482960661e-46,-0.285736378981884,1,1,2.76318515403948e-42
CTSG,3.01113263678298e-46,0.263216498479026,0.153,0.045,5.30079789379276e-42
SGMS1,4.48461148314323e-46,-0.357014548735983,0.827,0.91,7.89471005492535e-42
NFKBIZ,4.81221776418512e-46,0.40708551925983,0.613,0.39,8.47142815207149e-42
VASP,6.4958025629266e-46,-0.255397598125416,0.953,0.987,1.1435210831776e-41
FN1,1.07596947866859e-45,-0.356160459686619,0.843,0.962,1.89413667024818e-41
PLAC8,2.21500488960449e-45,-0.312159071572066,0.968,0.991,3.89929460765974e-41
ODC1,4.47358367872105e-45,0.342413004966149,0.665,0.453,7.87529670802054e-41
LIMS1,5.88957530226089e-45,0.302149728806519,0.7,0.476,1.03680083621001e-40
S100A4,7.36804911437152e-45,-0.410209214769321,0.918,0.985,1.29707136609396e-40
CLEC4E,1.32377176703562e-44,-0.370574604396424,0.649,0.762,2.3303678186895e-40
LIPA,1.96184510451997e-44,0.428138268502698,0.961,0.93,3.45363212199695e-40
BHLHE41,2.2896763173041e-44,-0.333049467155441,0.964,0.981,4.03074618898213e-40
PSMA6,2.29572139567294e-44,-0.270735135948157,0.978,0.991,4.04138794494264e-40
YBX3,5.44190914018793e-44,0.376741631980017,0.831,0.656,9.57993685038683e-40
LY6E-1,7.75195318482316e-44,-0.342545888855338,0.805,0.912,1.36465383865627e-39
LDHA,8.57061261307947e-44,-0.25815610890878,0.998,1,1.50877064440651e-39
RGS19,1.17926461167632e-43,-0.272202961794321,0.81,0.883,2.075977422395e-39
DNAJB1,1.46389070569692e-43,0.74140469464412,0.654,0.479,2.57703319830886e-39
TCN2,7.44145242274855e-43,0.259141284421915,0.188,0.07,1.30999328450065e-38
BID,1.35443817466572e-42,-0.273466692276342,0.733,0.82,2.38435296268153e-38
LOC106998938,1.4274110169992e-42,-0.329502625494564,0.28,0.458,2.5128143543254e-38
TUSC3,2.13552322679578e-42,-0.300068261367748,0.284,0.465,3.7593750884513e-38
CD9-1,2.41515645122919e-42,-0.283847463889289,0.996,0.999,4.25164141674386e-38
RHOQ,3.09851841793597e-42,0.278869304747257,0.699,0.475,5.45463182293448e-38
EIF1AY,3.24554732832411e-42,-0.254657952250805,0.176,0.355,5.71346151678176e-38
CITED2,3.41806296208397e-42,-0.390976904854109,0.875,0.936,6.01715803845262e-38
APRT,3.78435695115299e-42,-0.314433372475491,0.852,0.927,6.66198197680972e-38
CD74,4.32466357422639e-42,-0.260987821716586,1,1,7.61313775606814e-38
MAMU-DQB1,9.50970962059875e-42,-0.31525437741359,0.99,0.997,1.6740892816102e-37
IL1RN,1.38665052672463e-41,-0.293043752178165,0.183,0.358,2.44105958724603e-37
ENO3,1.46129244876183e-41,0.872339306982605,0.779,0.626,2.57245922680032e-37
SLC6A6,3.06650586976831e-41,-0.282640477746047,0.946,0.971,5.39827693314014e-37
TGM2,5.72067479577476e-41,0.385044158761949,0.611,0.415,1.00706759104819e-36
LFNG,7.06561765118083e-41,-0.299750854174148,0.63,0.745,1.24383133131387e-36
GPX1,1.29471547002473e-40,0.339049166480368,0.999,0.999,2.27921711343153e-36
CTSL,5.32202170147754e-40,0.345339847559955,0.745,0.544,9.36888700328106e-36
ADGRA2,1.04824386386543e-39,-0.267766195716737,0.161,0.323,1.84532849794871e-35
RBM25,1.06260665943071e-39,-0.284016096959298,0.732,0.803,1.87061276326183e-35
ITGA6,1.5045195044026e-39,-0.322928771275046,0.928,0.962,2.64855613555034e-35
GYPC,7.21096505300216e-39,-0.272948644349507,0.911,0.961,1.2694182879305e-34
RELT,8.04658439677706e-39,-0.278952601916514,0.271,0.443,1.41652071720863e-34
HIF1A,8.93085832709998e-39,0.403919107496904,0.831,0.69,1.57218829990268e-34
MPP1,2.64922194315235e-38,0.266567766230509,0.677,0.465,4.66369030872539e-34
LILRB3,1.62262829253402e-37,0.259332342068969,0.752,0.555,2.85647484617689e-33
LOC114669810,1.7146747361116e-37,-0.25524457829088,0.998,0.999,3.01851340545085e-33
ZFP36,1.78820632146035e-37,0.528730292202384,0.913,0.869,3.1479584082988e-33
C19H19orf38,1.831668790554e-37,-0.272560933453273,0.243,0.408,3.22446973889126e-33
SCD,3.2514970037922e-37,0.46289478274675,0.33,0.194,5.72393532547578e-33
DDT,3.67501766592937e-37,0.260312975817616,0.241,0.114,6.46950109910207e-33
SDC2,5.10921425555255e-37,0.315191814455611,0.994,0.981,8.99426077547471e-33
TNFRSF12A,1.01332042225314e-36,-0.29893436118694,0.801,0.873,1.78384927133443e-32
PHLDA3,1.46985826568279e-36,-0.287718830847091,0.766,0.825,2.58753849090798e-32
IFI6,4.54464831358843e-36,-0.440851575633739,0.935,0.985,8.00039889124108e-32
CHI3L1,1.57079881105475e-35,0.644139070703089,0.917,0.906,2.76523422698079e-31
NUDT5,2.35974168963308e-35,-0.268622077836121,0.739,0.798,4.15408927043007e-31
ALOX5,3.7253579687858e-35,-0.290863853281734,0.665,0.739,6.55812016825053e-31
ASAH1,5.65252640082117e-35,0.323708130931563,0.999,1,9.95070747600558e-31
MRPL28,7.67318943006638e-35,0.253532486875067,0.682,0.479,1.35078826726889e-30
FDX1,1.22804878534188e-34,0.42221707347442,0.984,0.979,2.16185708171584e-30
CD69,4.68450679972168e-34,0.563709169768607,0.512,0.321,8.24660577023004e-30
HACD1,4.75043356463194e-34,0.333517471909462,0.515,0.359,8.36266324717807e-30
CLEC5A,6.33464871926447e-34,-0.257106022404112,0.262,0.427,1.11515156053932e-29
CTSD,7.35929747814162e-34,0.350210162575013,0.368,0.233,1.29553072805205e-29
CD177,7.66752234556001e-34,-0.332142043895779,0.79,0.875,1.34979063371238e-29
RPL37,8.62120545087259e-34,0.314606222942349,0.999,0.999,1.51767700757161e-29
PAPSS2,1.0708761935424e-33,0.326185720445678,0.206,0.093,1.88517045111204e-29
HSP90AA1,1.4466158972613e-33,0.468548234112853,1,1,2.54662262553879e-29
LOC100427851,1.85693522316246e-33,0.337022953560139,0.901,0.816,3.2689487668552e-29
PLPP3,1.89015636250965e-33,0.29293983644809,0.248,0.127,3.32743126056199e-29
RPS4Y2,2.29596457163897e-33,-0.288092648989773,0.488,0.604,4.04181603191325e-29
AKR7A2,3.169494438731e-33,0.405939737012554,0.85,0.746,5.57957800994206e-29
LOC114669765,4.39967304151416e-33,0.296098850875597,0.268,0.141,7.74518442228152e-29
RNF13,1.39297195486571e-32,0.262998195407666,0.96,0.897,2.4521878293456e-28
IL1A,1.83811229903021e-32,0.557787804857192,0.394,0.246,3.23581289121279e-28
SGMS2,5.66330330683094e-32,0.254868902436027,0.677,0.474,9.96967914134519e-28
CTSC,1.22841648669808e-30,0.301045634189077,0.913,0.844,2.16250438318331e-26
LILRA5,1.86290266632077e-30,0.276061466623222,0.747,0.578,3.27945385379109e-26
CCDC151,2.34742587728215e-29,-0.301043462562902,0.63,0.7,4.1324085143675e-25
ANXA1,1.04731629529415e-28,-0.251546108576238,0.998,1,1.84369560623583e-24
TIMP2,2.44378816110806e-28,0.321653029430731,0.862,0.764,4.30204467881462e-24
TXNIP,2.73065509665317e-28,0.425610316260484,0.822,0.687,4.80704523214824e-24
LOC109910387,2.77164834198166e-28,0.533988699060785,1,1,4.87920974122452e-24
LYZ,7.69431132244132e-28,0.30946057953843,0.846,0.722,1.35450656520257e-23
APLP2,8.24517720370333e-28,0.279456305129893,0.988,0.984,1.45148099493993e-23
PLP2,6.82103700195883e-27,0.26086700263207,0.766,0.608,1.20077535382483e-22
TIMD4,7.20677509241196e-27,-0.369970579462988,0.103,0.218,1.2686806872682e-22
BASP1,8.29479034383357e-27,0.408991017836751,0.838,0.75,1.46021489212846e-22
SRGN,1.42015435059891e-26,0.258378349847711,0.997,0.998,2.50003971879432e-22
CD48,1.77985856516501e-26,0.328550326539683,0.984,0.971,3.13326301811648e-22
KLF4,2.5615972716139e-26,0.349100103999251,0.896,0.845,4.50943583694911e-22
CPQ,2.91910882343492e-26,0.28229658121257,0.806,0.669,5.13879917277483e-22
CYB5A,6.37718579951416e-26,0.277514560705315,0.847,0.727,1.12263978814647e-21
CCNI,7.0867900224618e-26,0.2980561445299,0.928,0.889,1.24755851555418e-21
AHNAK2,7.3344575971035e-26,0.281026201070827,0.325,0.206,1.2911579153941e-21
LOC114674534,8.95246670006507e-26,0.737624538318476,0.998,0.997,1.57599223787945e-21
DNAJB4,2.4683210393314e-25,0.279784992907136,0.187,0.093,4.345232357639e-21
CHIT1,2.60678644351712e-25,0.810040802461184,0.97,0.979,4.58898685516753e-21
HSPH1,6.16558769630397e-25,0.604967274094397,0.765,0.656,1.08539005805735e-20
MAP3K8,1.47477781207816e-24,-0.250487695293959,0.725,0.771,2.5961988603824e-20
TGFBR3,1.72197007889625e-24,0.260605192374337,0.279,0.169,3.03135612688896e-20
DHRS7,2.45868731076816e-24,0.250541729061613,0.976,0.953,4.32827314187627e-20
CCL18,2.07816522882104e-23,0.313395895855974,0.446,0.32,3.65840206881655e-19
LOC711690,6.69259208436768e-23,0.289327588388616,0.365,0.251,1.17816391053209e-18
SLA,8.76502164539477e-23,-0.253137273707909,0.239,0.364,1.54299441045529e-18
SERPINE1,9.29371165760304e-23,-0.315995534063364,0.757,0.779,1.63606500020444e-18
MAFB,1.36424899972339e-22,-0.279188716787483,0.902,0.938,2.40162393911305e-18
CXCL8,1.8057243161593e-22,-0.293203011614933,0.225,0.348,3.17879708616683e-18
